trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
167,False,"{'a': 0.7, 'e': 3.58564308508731e-05}",25,11,24.72573006118934,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.7, 'e': 3.5430839002267575e-05}",20,10,13.822854223625564,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.7, 'e': 3.501277966457757e-05}",35,19,32.134896783326575,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.7, 'e': 3.460207612456748e-05}",25,8,28.62927701434445,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.7, 'e': 3.419855682090216e-05}",20,10,19.146094242819345,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.7, 'e': 3.380205516495403e-05}",20,6,21.957481936017306,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.7, 'e': 3.3412409368839586e-05}",20,6,18.279271154614495,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.7, 'e': 3.302946228035408e-05}",20,10,19.41768923908432,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.7, 'e': 3.265306122448979e-05}",25,14,22.718111517501466,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.7, 'e': 3.228305785123967e-05}",35,24,15.33589967482826,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.7, 'e': 3.191930798940279e-05}",35,24,18.208976434007326,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.7, 'e': 3.156167150612296e-05}",20,12,17.774820225715484,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.7, 'e': 3.121001217190475e-05}",20,13,15.524076836350257,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.7, 'e': 3.08641975308642e-05}",20,11,19.264814762685223,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.7, 'e': 3.0524098775983637e-05}",30,12,31.332974025568046,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.7, 'e': 3.0189590629151068e-05}",20,13,9.789560074691229,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
